,Neighbourhood,ADMIN_LEVE,geometry,Lon,Lat
171,Aranyhegy-Ürömhegy-Péterhegy,10,POINT (19.02106468120273 47.58065573917962),19.021064681202734,47.58065573917962
172,Kaszásdűlő,10,POINT (19.03338634361181 47.56058320493509),19.03338634361181,47.560583204935085
173,Aquincum,10,POINT (19.0519146733619 47.56086414418545),19.051914673361896,47.56086414418545
174,Népsziget,10,POINT (19.06979557386337 47.5581820794437),19.069795573863374,47.558182079443704
175,Mocsárosdűlő,10,POINT (19.03983198211006 47.5735210556844),19.03983198211006,47.573521055684395
176,Csillaghegy,10,POINT (19.0507772054218 47.58799272115307),19.050777205421802,47.58799272115307
177,Rómaifürdő,10,POINT (19.05849223312792 47.57131162262618),19.058492233127918,47.57131162262618
178,Békásmegyer,10,POINT (19.05425310187219 47.60195417246792),19.054253101872188,47.60195417246792
179,Újpest,10,POINT (19.08876928502432 47.56717232806425),19.08876928502432,47.56717232806425
180,Istvántelek,10,POINT (19.1048966791552 47.55214639103519),19.104896679155203,47.55214639103519
181,Megyer,10,POINT (19.09357311278305 47.58403135863708),19.093573112783048,47.58403135863708
182,Rákospalota,10,POINT (19.1380704824735 47.56396393133905),19.1380704824735,47.563963931339046
183,Káposztásmegyer,10,POINT (19.10558449776049 47.5954376542734),19.10558449776049,47.5954376542734
184,Székesdűlő,10,POINT (19.10656860365532 47.60911286971359),19.10656860365532,47.60911286971359
185,Újhegy,10,POINT (19.16562190116329 47.46729285797787),19.165621901163288,47.46729285797787
186,Téglagyárdűlő,10,POINT (19.16753988057632 47.48302291706072),19.16753988057632,47.483022917060715
187,Keresztúridűlő,10,POINT (19.18902229361742 47.47247945341214),19.189022293617423,47.47247945341214
188,Kőbánya-Kertváros,10,POINT (19.19950923941976 47.48234301372268),19.199509239419765,47.482343013722684
189,Felsőrákos,10,POINT (19.17508451370611 47.49497534055659),19.175084513706107,47.494975340556586
190,Akadémiaújtelep,10,POINT (19.22096854442945 47.48120582424542),19.220968544429454,47.48120582424542
191,Madárdomb,10,POINT (19.23305466897619 47.47591671966319),19.233054668976195,47.47591671966319
192,Rákosliget,10,POINT (19.24654035795229 47.49203754398047),19.24654035795229,47.49203754398047
193,Sashalom,10,POINT (19.17539980452964 47.5092743798628),19.175399804529636,47.509274379862795
194,Rákosszentmihály,10,POINT (19.16965833935331 47.52827891980331),19.16965833935331,47.52827891980331
195,Árpádföld,10,POINT (19.20101294219358 47.53439163292389),19.201012942193575,47.53439163292389
196,Mátyásföld,10,POINT (19.20262525067895 47.50942674150576),19.202625250678953,47.509426741505756
197,Cinkota,10,POINT (19.23176211808727 47.51702072903227),19.231762118087268,47.51702072903227
198,Rákoskeresztúr,10,POINT (19.25301020026018 47.47793740051335),19.25301020026018,47.477937400513355
199,Régiakadémiatelep,10,POINT (19.24836311617044 47.49033287904581),19.248363116170438,47.49033287904581
200,Rákoscsaba-Újtelep,10,POINT (19.2860572647491 47.50145796970529),19.2860572647491,47.501457969705285
201,Rákoskert,10,POINT (19.30182846853038 47.46395970337883),19.301828468530385,47.463959703378826
202,Rákoscsaba,10,POINT (19.30328824565885 47.47969244288674),19.303288245658848,47.479692442886744
