,Neighbourhood,Borough,Postcode,Lat,Lon
182,Frognal,Camden,NW3,51.5537921,-0.1821438
183,Fulham,Hammersmith and Fulham,SW6,51.4773433,-0.2016817
188,Gipsy Hill,Lambeth,"SE19, SE27",51.42382019999999,-0.08352649999999999
190,Golders Green,Barnet,NW11,51.5740013,-0.1987725
192,Gospel Oak,Camden,"NW5, NW3",51.5563205,-0.1492765
193,Grahame Park,Barnet,NW9,51.6033796,-0.2404951
194,Grange Park,Enfield,N21,51.6432167,-0.09805459999999999
196,Greenwich,Greenwich,SE10,51.4933675,0.0098214
197,W4 Grove Park,Hounslow,W4,51.481631,-0.272505
198,SE12 Grove Park,Lewisham,SE12,51.4329249,0.021203
199,Gunnersbury,Hounslow,W4,51.49335199999999,-0.278887
200,Hackney,Hackney,"E5, E8, E9, N1, N16",51.573445,-0.07243759999999999
201,Hackney Central,Hackney,E8,51.5482344,-0.05738749999999999
202,Hackney Marshes,Hackney,E9,51.5579441,-0.0311853
203,Hackney Wick,Hackney,E9,51.544579,-0.0256935
205,Haggerston,Hackney,E2,51.5373275,-0.0748971
207,The Hale,Barnet,NW7,51.58879,-0.0634168
209,Hammersmith,Hammersmith and Fulham,W6,51.491187,-0.223731
210,Hampstead,Camden,NW3,51.5556461,-0.1761749
211,Hampstead Garden Suburb,Barnet,N2,51.58092200000001,-0.189599
215,Hanwell,Ealing,W7,51.5066369,-0.3383229
218,Harlesden,Brent,NW10,51.53710090000001,-0.2427341
224,Harringay,Haringey,"N4, N8, N15",51.582426,-0.09966
234,Hendon,Barnet,NW4,51.5860901,-0.2307061
235,Herne Hill,Lambeth,SE24,51.4609208,-0.0985404
237,Highams Park,Waltham Forest,E4,51.6083754,0.0014712
238,Highbury,Islington,N5,51.5569649,-0.0979656
239,Highgate,Camden,N6,51.5717035,-0.1501241
241,Hither Green,Lewisham,SE13,51.4506476,-0.0043888
242,Holborn,Camden,"WC1, WC2",51.5175802,-0.1145147
243,Holland Park,Kensington and Chelsea,"W8, W11, W14",51.5032252,-0.2036668
244,Holloway,Islington,N7,51.55701699999999,-0.115522
245,Homerton,Hackney,E9,51.5478609,-0.0425903
246,Honor Oak,Lewisham,SE23,51.4489977,-0.0457341
249,Horn Park,"Greenwich, Lewisham",SE12,51.4429893,0.0251934
250,Hornsey,Haringey,N8,51.5872715,-0.1103806
252,Hoxton,Hackney,N1,51.5310622,-0.0866091
253,The Hyde,Barnet,NW9,51.5864004,-0.2498123
256,Isle of Dogs,Tower Hamlets,E14,51.4966118,-0.0146551
258,Islington,Islington,N1,51.5465063,-0.1058058
260,Kennington,"Lambeth, Southwark",SE11,51.4879753,-0.1119362
261,Kensal Green,Brent,"NW10, NW6",51.5345071,-0.2250186
262,Kensington,Kensington and Chelsea,SW7,51.5010095,-0.1932794
263,Kentish Town,Camden,NW5,51.5490952,-0.144084
267,Kidbrooke,Greenwich,SE3,51.4654183,0.0091487
268,Kilburn,"Brent, Camden",NW6,51.539813,-0.1985291
269,King's Cross,Camden and Islington,WC1,51.5347488,-0.1245845
270,Kingsbury,Brent,NW9,51.5853499,-0.2782546
271,Kingston Vale,Kingston upon Thames,SW15,51.4326453,-0.2572578
273,Knightsbridge,Westminster,SW1,51.4991195,-0.1644394
274,Ladywell,Lewisham,"SE4, SE13",51.45589709999999,-0.0219523
275,Lambeth,Lambeth,SE1,51.4571477,-0.1230681
278,Lea Bridge,Hackney,E10,51.5706881,-0.024361
279,Leamouth,Tower Hamlets,E14,51.512039,0.001899
281,Lee,Lewisham,SE12,51.4493331,0.0204837
283,Lewisham,Lewisham,SE13,51.4414579,-0.0117006
284,Leyton,Waltham Forest,"E10, E15",51.5702225,-0.0146938
285,Leytonstone,Waltham Forest,E11,51.5649624,0.0088141
286,Limehouse,Tower Hamlets,E14,51.5110598,-0.0366652
287,Lisson Grove,Westminster,NW8,51.5247788,-0.1683147
288,Little Ilford,Newham,E12,51.54753179999999,0.0577676
289,Little Venice,Westminster,"W9, W2",51.5234835,-0.1838854
293,Lower Clapton,Hackney,E5,51.5584687,-0.0559163
296,Maida Vale,Westminster,W9,51.5299092,-0.1860307
298,Manor House,Hackney,N4,51.5211208,-0.1648755
299,Manor Park,Newham,E12,51.550487,0.0514117
301,Maryland,Newham,E15,51.5477587,0.0005166999999999999
302,Marylebone (also St Marylebone),Westminster,W1,51.5188746,-0.1498955
303,Mayfair,Westminster,W1,51.5116269,-0.147806
304,Maze Hill,Greenwich,SE10,51.4786678,0.0062193
305,Merton Park,Merton,SW19,51.4078272,-0.1983261
306,Middle Park,Greenwich,SE9,51.4449694,0.0400128
307,Mile End,Tower Hamlets,E1,51.52354529999999,-0.0330122
308,Mill Hill,Barnet,NW7,51.6133816,-0.2463566
309,Millbank,Westminster,SW1,51.4917605,-0.1298473
310,Millwall,Tower Hamlets,E14,51.49890920000001,-0.0245519
315,Mortlake,Richmond upon Thames,SW14,51.4687363,-0.2627417
317,Mottingham,Bromley,SE9,51.4368565,0.0431531
318,Muswell Hill,Haringey and Barnet,N10,51.5911816,-0.1443015
319,Nag's Head,Islington,N7,51.5840768,-0.0111764
320,Neasden,Brent,"NW2, NW10",51.5614009,-0.2540177
323,New Cross,Lewisham,SE14,51.4769047,-0.0336897
324,New Eltham,Greenwich,SE9,51.4322522,0.0658314
326,New Southgate,Barnet,N11,51.61100099999999,-0.135469
328,Newington,Southwark,"SE1, SE17",51.500194,-0.103378
329,Nine Elms,Wandsworth,SW8,51.4801974,-0.1396819
332,Norbury,Croydon,SW16,51.4085878,-0.1213899
335,North Finchley,Barnet,N12,51.6135087,-0.1754198
337,North Kensington,Kensington and Chelsea,"W10, W11",51.5246698,-0.2138884
340,North Woolwich,Newham,E16,51.5008658,0.0626916
345,Notting Hill,Kensington and Chelsea,W11,51.5160125,-0.2090148
346,Nunhead,Southwark,SE15,51.4657341,-0.054919
347,Oakleigh Park,Barnet,N20,51.627933,-0.1682269
349,Old Ford,Tower Hamlets,E3,51.535812,-0.021259
351,Old Oak Common,Hammersmith and Fulham,NW10,51.52047,-0.2507171
353,Osidge,Barnet,N14,51.632207,-0.1429515
355,Oval,Lambeth,"SW8, SW9, SE11",51.4841476,-0.1170091
356,Paddington,Westminster,W2,51.515973,-0.174943
357,Palmers Green,Enfield,N13,51.6214872,-0.1075657
358,Park Royal,"Brent, Ealing",NW10,51.5278587,-0.2618239
359,Parsons Green,Hammersmith and Fulham,SW6,51.47312789999999,-0.199893
360,Peckham,Southwark,SE15,51.47032369999999,-0.0673872
361,Penge,Bromley,SE20,51.41388490000001,-0.0570112
362,Pentonville,Islington,N1,51.530994,-0.110682
366,Pimlico,Westminster,SW1,51.490744,-0.1403619
368,Plaistow,Newham,E13,51.5268317,0.0308143
370,Plumstead,Greenwich,SE18,51.4873853,0.08650139999999999
372,Poplar,Tower Hamlets,E14,51.5123792,-0.0087975
375,Primrose Hill,Camden,"NW1, NW3, NW8",51.5412572,-0.1533169
377,Putney,Wandsworth,SW15,51.4596431,-0.2141257
378,Queen's Park,Brent,NW6,51.5345448,-0.2043853
381,Ratcliff,Tower Hamlets,E1,51.5133562,-0.0458396
383,Raynes Park,Merton,SW20,51.4084257,-0.2298751
387,Roehampton,Wandsworth,SW15,51.4484339,-0.2397592
389,Rotherhithe,Southwark,SE16,51.49628999999999,-0.0411931
394,Sands End,Hammersmith and Fulham,SW6,51.4731566,-0.1822545
395,Selhurst,Croydon,SE25,51.3987802,-0.085496
398,Seven Sisters,Haringey,N15,51.582652,-0.0747232
399,Shacklewell,Hackney,"E8, N16",51.552664,-0.07727189999999999
400,Shadwell,Tower Hamlets,E1,51.51630489999999,-0.06309329999999999
401,Shepherd's Bush,Hammersmith and Fulham,W12,51.5051913,-0.22469
403,Shooter's Hill,Greenwich,SE18,51.46967,0.0622551
404,Shoreditch,Hackney,N1,51.5229106,-0.0777472
406,Silvertown,Newham,E16,51.5025179,0.0403209
409,Snaresbrook,"Redbridge, Waltham Forest",E11,51.58567859999999,0.0084531
410,Soho,Westminster,W1,51.5136143,-0.1365486
411,Somerstown,Camden,NW1,51.53099599999999,-0.1315048
413,South Hackney,Hackney,E9,51.535042,-0.0458753
416,South Kensington,Kensington and Chelsea,"SW7, SW3, SW5",51.4953291,-0.1789909
417,South Norwood,Croydon,SE25,51.39813359999999,-0.0716
419,South Wimbledon,Merton,SW19,51.41570919999999,-0.192514
420,South Woodford,Redbridge,E18,51.5912671,0.0264721
421,South Tottenham,Haringey,"N15, N17",51.5840101,-0.0757587
422,Southend,Lewisham,SE6,51.427447,-0.014765
425,Southfields,Wandsworth,"SW18, SW19",51.44522,-0.2037324
426,Southgate,Enfield,N14,51.62476119999999,-0.1240456
427,Spitalfields,Tower Hamlets,E1,51.5189263,-0.07484779999999999
429,St James's,Westminster,SW1,51.5069927,-0.1360599
431,St Giles,Camden,WC2,51.5174908,-0.1307922
432,St Johns,Lewisham,SE4,51.4709972,-0.0241612
433,St John's Wood,Westminster,NW8,51.5343581,-0.1742065
434,St Luke's,Islington,EC1,51.524765,-0.092719
436,St Pancras,Camden,WC1,51.52644050000001,-0.1252123
438,Stamford Hill,Hackney,"N15, N16",51.5682272,-0.07424449999999999
440,Stepney,Tower Hamlets,E1,51.5222254,-0.0491574
441,Stockwell,Lambeth,"SW8, SW9",51.4760412,-0.1263271
442,Stoke Newington,Hackney,N16,51.561175,-0.08349229999999999
443,Stonebridge,Brent,NW10,51.5416625,-0.2612156
444,Stratford,Newham,E15,51.5471806,-0.0081304
446,Streatham,Lambeth,SW16,51.4307467,-0.1294977
447,Stroud Green,Haringey,N4,51.5679092,-0.1094616
451,Surrey Quays,Southwark,SE16,51.4944172,-0.0383063
